departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Conakry,-13.354,9.961,Guinea,Abidjan,-3.878,5.435,Cote d'Ivoire,3,1158
Banjul,-16.421,13.563,Gambia,Dakar,-17.151,15.232,Senegal,3,201
Abidjan,-3.878,5.435,Cote d'Ivoire,Cotonou,2.64,6.595,Benin,3,732
Abidjan,-3.878,5.435,Cote d'Ivoire,Conakry,-13.354,9.961,Guinea,3,1158
Accra,0.388,6.008,Ghana,Abuja,7.438,9.011,Nigeria,3,845
Abuja,7.438,9.011,Nigeria,Accra,0.388,6.008,Ghana,3,845
Pointe-noire,12.477,-4.694,Congo (Brazzaville),Cotonou,2.64,6.595,Benin,3,1663
Jeddah,39.26,22.132,Saudi Arabia,Asmara,39.517,15.486,Eritrea,3,739
London,-0.103,51.795,United Kingdom,Agadir,-9.244,30.635,Morocco,3,2469
Dar Es Salaam,39.337,-6.797,Tanzania,Addis Ababa,39.332,9.629,Ethiopia,3,1826
Addis Ababa,39.332,9.629,Ethiopia,Mombasa,39.99,-3.392,Kenya,3,1449
Addis Ababa,39.332,9.629,Ethiopia,Dar Es Salaam,39.337,-6.797,Tanzania,3,1826
Windhoek,17.77,-22.145,Namibia,Johannesburg,28.41,-25.566,South Africa,3,1146
Port Elizabeth,26.028,-33.975,South Africa,Johannesburg,28.41,-25.566,South Africa,3,962
Port Elizabeth,26.028,-33.975,South Africa,Durban,31.584,-29.951,South Africa,3,688
Plaisance,58.139,-20.051,Mauritius,Johannesburg,28.41,-25.566,South Africa,3,3101
Livingstone,26.371,-17.703,Zambia,Johannesburg,28.41,-25.566,South Africa,3,899
London,-0.103,51.795,United Kingdom,Nairobi,37.545,-0.866,Kenya,3,6834
London,-0.103,51.795,United Kingdom,Lagos,3.535,6.962,Nigeria,3,4996
London,-0.103,51.795,United Kingdom,Cairo,31.675,30.203,Egypt,3,3538
Johannesburg,28.41,-25.566,South Africa,Windhoek,17.77,-22.145,Namibia,3,1146
Johannesburg,28.41,-25.566,South Africa,Plaisance,58.139,-20.051,Mauritius,3,3101
Johannesburg,28.41,-25.566,South Africa,Livingstone,26.371,-17.703,Zambia,3,899
Johannesburg,28.41,-25.566,South Africa,Harare,31.154,-17.887,Zimbabwe,3,899
Harare,31.154,-17.887,Zimbabwe,Johannesburg,28.41,-25.566,South Africa,3,899
Durban,31.584,-29.951,South Africa,Port Elizabeth,26.028,-33.975,South Africa,3,688
Amsterdam,5.273,52.514,Netherlands,Nairobi,37.545,-0.866,Kenya,3,6653
Tunis,10.378,37.418,Tunisia,Casablanca,-7.317,33.612,Morocco,3,1653
Riyadh,47.164,25.596,Saudi Arabia,Cairo,31.675,30.203,Egypt,3,1604
Cotonou,2.64,6.595,Benin,Lagos,3.535,6.962,Nigeria,3,106
Casablanca,-7.317,33.612,Morocco,Tunis,10.378,37.418,Tunisia,3,1653
Milano,9.213,46.051,Italy,Tunis,10.378,37.418,Tunisia,3,964
Milano,9.213,46.051,Italy,Cairo,31.675,30.203,Egypt,3,2622
Delhi,77.171,28.944,India,Addis Ababa,39.332,9.629,Ethiopia,3,4484
Paris,2.916,49.021,France,Annaba,8.348,37.37,Algeria,3,1367
Paris,2.916,49.021,France,St.-denis,55.85,-20.812,Reunion,3,9361
Nairobi,37.545,-0.866,Kenya,Lusaka,28.754,-14.885,Zambia,3,1833
Nairobi,37.545,-0.866,Kenya,Lilongwe,34.301,-13.649,Malawi,3,1465
Nairobi,37.545,-0.866,Kenya,Djibouti,43.265,11.912,Djibouti,3,1554
Marseille,5.356,43.725,France,Algier,3.359,37.151,Algeria,3,750
Lusaka,28.754,-14.885,Zambia,Nairobi,37.545,-0.866,Kenya,3,1833
Lilongwe,34.301,-13.649,Malawi,Nairobi,37.545,-0.866,Kenya,3,1465
Paris,2.916,49.021,France,Tunis,10.378,37.418,Tunisia,3,1423
Paris,2.916,49.021,France,Niamey,2.306,13.802,Niger,3,3916
Paris,2.916,49.021,France,Plaisance,58.139,-20.051,Mauritius,3,9417
Paris,2.916,49.021,France,Dakar,-17.151,15.232,Senegal,3,4176
Paris,2.916,49.021,France,Cairo,31.675,30.203,Egypt,3,3198
Amsterdam,5.273,52.514,Netherlands,Khartoum,32.921,15.982,Sudan,3,4731
Munich,12.31,48.589,Germany,Hurghada,34.332,27.297,Egypt,3,3032
Frankfurt,8.905,50.044,Germany,Hurghada,34.332,27.297,Egypt,3,3324
Djerba,11.292,34.458,Tunisia,Enfidha,10.731,36.126,Tunisia,3,192
Bombay,73.446,19.147,India,Johannesburg,28.41,-25.566,South Africa,3,6957
Lagos,3.535,6.962,Nigeria,Abuja,7.438,9.011,Nigeria,3,486
Abuja,7.438,9.011,Nigeria,Lagos,3.535,6.962,Nigeria,3,486
N'djamena,15.056,12.222,Chad,Douala,10.199,4.01,Cameroon,3,1057
Douala,10.199,4.01,Cameroon,N'djamena,15.056,12.222,Chad,3,1057
Paris,2.916,49.021,France,Rabat,-6.586,34.085,Morocco,3,1836
Paris,2.916,49.021,France,Oujda,-1.874,35.311,Morocco,3,1573
Milano,9.213,46.051,Italy,Casablanca,-7.317,33.612,Morocco,3,1968
Marseille,5.356,43.725,France,Casablanca,-7.317,33.612,Morocco,3,1569
Lyon,5.151,46.21,France,Marrakech,-7.394,32.011,Morocco,3,1909
Johannesburg,28.41,-25.566,South Africa,Mpumalanga,31.176,-24.972,South Africa,3,285
Zanzibar,39.374,-5.704,Tanzania,Nairobi,37.545,-0.866,Kenya,3,574
Nairobi,37.545,-0.866,Kenya,Kilimanjaro,37.124,-3.05,Tanzania,3,247
Nairobi,37.545,-0.866,Kenya,Kisumu,35.214,0.523,Kenya,3,301
Malindi,40.169,-2.716,Kenya,Nairobi,37.545,-0.866,Kenya,3,356
Kisumu,35.214,0.523,Kenya,Nairobi,37.545,-0.866,Kenya,3,301
Entebbe,32.739,0.07,Uganda,Nairobi,37.545,-0.866,Kenya,3,544
Marsa Alam,34.972,25.928,Egypt,Sharm El Sheikh,34.658,28.628,Egypt,3,301
Luxor,33.177,26.118,Egypt,Sharm El Sheikh,34.658,28.628,Egypt,3,315
Istanbul,29.357,41.628,Turkey,Casablanca,-7.317,33.612,Morocco,3,3323
Brussels,4.807,51.502,Belgium,Casablanca,-7.317,33.612,Morocco,3,2216
Barcelona,2.13,41.495,Spain,Casablanca,-7.317,33.612,Morocco,3,1207
Ouagadougou,-1.188,12.588,Burkina Faso,Abidjan,-3.878,5.435,Cote d'Ivoire,3,848
Paris,2.916,49.021,France,Ouagadougou,-1.188,12.588,Burkina Faso,3,4068
Bamako,-7.917,12.889,Mali,Ouagadougou,-1.188,12.588,Burkina Faso,3,730
Abidjan,-3.878,5.435,Cote d'Ivoire,Ouagadougou,-1.188,12.588,Burkina Faso,3,848
Sokoto,5.345,13.527,Nigeria,Abuja,7.438,9.011,Nigeria,2,551
Lagos,3.535,6.962,Nigeria,Enugu,7.936,6.79,Nigeria,2,486
Kano,8.874,12.079,Nigeria,Abuja,7.438,9.011,Nigeria,2,375
Enugu,7.936,6.79,Nigeria,Lagos,3.535,6.962,Nigeria,2,486
Enugu,7.936,6.79,Nigeria,Abuja,7.438,9.011,Nigeria,2,252
Accra,0.388,6.008,Ghana,Lagos,3.535,6.962,Nigeria,2,363
Abuja,7.438,9.011,Nigeria,Sokoto,5.345,13.527,Nigeria,2,551
Abuja,7.438,9.011,Nigeria,Enugu,7.936,6.79,Nigeria,2,252
Lisbon,-8.56,39.302,Portugal,Sao Vicente Island,-24.425,17.389,Cape Verde,2,2879
Lisbon,-8.56,39.302,Portugal,Amilcar Cabral,-22.916,17.235,Cape Verde,2,2819
Lisbon,-8.56,39.302,Portugal,"Praia,Santiago Island",-23.156,15.54,Cape Verde,2,3000
Manchester,-1.792,53.589,United Kingdom,Marrakech,-7.394,32.011,Morocco,2,2440
Paris,2.916,49.021,France,Monastir,11.257,36.263,Tunisia,2,1571
Lyon,5.151,46.21,France,Monastir,11.257,36.263,Tunisia,2,1217
Lisbon,-8.56,39.302,Portugal,Maputo,32.954,-25.869,Mozambique,2,8430
Istanbul,29.357,41.628,Turkey,Tunis,10.378,37.418,Tunisia,2,1689
Newcastle,-1.487,55.062,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,2,4113
Manchester,-1.792,53.589,United Kingdom,Enfidha,10.731,36.126,Tunisia,2,2170
Manchester,-1.792,53.589,United Kingdom,Luxor,33.177,26.118,Egypt,2,4194
Manchester,-1.792,53.589,United Kingdom,Hurghada,34.332,27.297,Egypt,2,4151
London,-0.103,51.795,United Kingdom,Enfidha,10.731,36.126,Tunisia,2,1941
Glasgow,-4.056,56.453,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,2,4329
Birmingham,-1.581,52.756,United Kingdom,Sharm El Sheikh,34.658,28.628,Egypt,2,3993
Jeddah,39.26,22.132,Saudi Arabia,Tunis,10.378,37.418,Tunisia,2,3244
Moscow,38.51,55.681,Russia,Hurghada,34.332,27.297,Egypt,2,3173
Walvis Bay,15.075,-22.967,Namibia,Cape Town,19.002,-33.942,South Africa,2,1278
Windhoek,17.77,-22.145,Namibia,Cape Town,19.002,-33.942,South Africa,2,1317
Tete,34.066,-15.509,Mozambique,Johannesburg,28.41,-25.566,South Africa,2,1263
Singapore,104.657,1.583,Singapore,Johannesburg,28.41,-25.566,South Africa,2,8708
Pietersburg,29.807,-23.877,South Africa,Johannesburg,28.41,-25.566,South Africa,2,234
Lagos,3.535,6.962,Nigeria,Johannesburg,28.41,-25.566,South Africa,2,4506
Johannesburg,28.41,-25.566,South Africa,Tete,34.066,-15.509,Mozambique,2,1263
Johannesburg,28.41,-25.566,South Africa,Pietersburg,29.807,-23.877,South Africa,2,234
Johannesburg,28.41,-25.566,South Africa,Lagos,3.535,6.962,Nigeria,2,4506
Johannesburg,28.41,-25.566,South Africa,East London,28.376,-32.393,South Africa,2,759
Johannesburg,28.41,-25.566,South Africa,Dakar,-17.151,15.232,Senegal,2,6700
Johannesburg,28.41,-25.566,South Africa,Beira,35.512,-19.661,Mozambique,2,980
New York,-73.632,41.066,United States,Johannesburg,28.41,-25.566,South Africa,2,12806
Washington,-77.094,39.574,United States,Dakar,-17.151,15.232,Senegal,2,6374
East London,28.376,-32.393,South Africa,Johannesburg,28.41,-25.566,South Africa,2,759
East London,28.376,-32.393,South Africa,Cape Town,19.002,-33.942,South Africa,2,889
Dakar,-17.151,15.232,Senegal,Johannesburg,28.41,-25.566,South Africa,2,6700
Cape Town,19.002,-33.942,South Africa,Walvis Bay,15.075,-22.967,Namibia,2,1278
Cape Town,19.002,-33.942,South Africa,Windhoek,17.77,-22.145,Namibia,2,1317
Cape Town,19.002,-33.942,South Africa,East London,28.376,-32.393,South Africa,2,889
Bangkok,101.245,14.135,Thailand,Johannesburg,28.41,-25.566,South Africa,2,9030
Beira,35.512,-19.661,Mozambique,Johannesburg,28.41,-25.566,South Africa,2,980
Damascus,36.857,33.684,Syria,Tunis,10.378,37.418,Tunisia,2,2422
Damascus,36.857,33.684,Syria,Khartoum,32.921,15.982,Sudan,2,2007
Doha,51.941,25.435,Qatar,Khartoum,32.921,15.982,Sudan,2,2236
Sydney,151.295,-33.911,Australia,Johannesburg,28.41,-25.566,South Africa,2,11068
Perth,116.611,-31.901,Australia,Johannesburg,28.41,-25.566,South Africa,2,8383
Johannesburg,28.41,-25.566,South Africa,Dar Es Salaam,39.337,-6.797,Tanzania,2,2387
